#     TIME       MAGNITUDE    ERROR      PHASE        MODEL      (O-C)
   1392.199289   10.501996  -1.000000   0.01885392  10.500003   0.001993
   1392.200678   10.499383  -1.000000   0.01890708  10.500003  -0.000620
   1392.202067   10.498798  -1.000000   0.01896023  10.500003  -0.001205
   1392.203456   10.499725  -1.000000   0.01901338  10.500003  -0.000279
   1392.204844   10.499488  -1.000000   0.01906653  10.500003  -0.000515
   1392.206233   10.499245  -1.000000   0.01911968  10.500003  -0.000759
   1392.207622   10.499049  -1.000000   0.01917283  10.500003  -0.000955
   1392.209011   10.500474  -1.000000   0.01922598  10.500003   0.000470
   1392.210400   10.498733  -1.000000   0.01927913  10.500003  -0.001270
   1392.211789   10.500965  -1.000000   0.01933229  10.500003   0.000961
   1392.213178   10.499784  -1.000000   0.01938544  10.500003  -0.000220
   1392.214567   10.500197  -1.000000   0.01943859  10.500003   0.000193
   1392.215956   10.500244  -1.000000   0.01949174  10.500003   0.000240
   1392.217345   10.500544  -1.000000   0.01954489  10.500003   0.000540
   1392.218734   10.498029  -1.000000   0.01959804  10.500003  -0.001975
   1392.220122   10.500487  -1.000000   0.01965119  10.500003   0.000484
   1392.221511   10.501891  -1.000000   0.01970434  10.500003   0.001888
   1392.222900   10.498403  -1.000000   0.01975749  10.500003  -0.001601
   1392.224289   10.499217  -1.000000   0.01981065  10.500003  -0.000786
   1392.225678   10.499004  -1.000000   0.01986380  10.500003  -0.000999
   1392.227067   10.501028  -1.000000   0.01991695  10.500003   0.001025
   1392.228456   10.500763  -1.000000   0.01997010  10.500003   0.000760
   1392.229845   10.501136  -1.000000   0.02002325  10.500003   0.001133
   1392.231234   10.500370  -1.000000   0.02007640  10.500003   0.000367
   1392.232623   10.499933  -1.000000   0.02012955  10.500003  -0.000071
   1392.234012   10.497681  -1.000000   0.02018270  10.500003  -0.002322
   1392.235401   10.500194  -1.000000   0.02023586  10.500003   0.000190
   1392.236789   10.501337  -1.000000   0.02028901  10.500003   0.001334
   1392.238178   10.501434  -1.000000   0.02034216  10.500003   0.001431
   1392.239567   10.501144  -1.000000   0.02039531  10.500003   0.001141
   1392.240956   10.501057  -1.000000   0.02044846  10.500003   0.001054
   1392.242345   10.498585  -1.000000   0.02050161  10.500003  -0.001418
   1392.243734   10.500677  -1.000000   0.02055476  10.500003   0.000674
   1392.245123   10.501323  -1.000000   0.02060791  10.500003   0.001320
   1392.246512   10.500378  -1.000000   0.02066107  10.500003   0.000375
   1392.249290   10.500755  -1.000000   0.02076737  10.500003   0.000752
   1392.252067   10.500005  -1.000000   0.02087367  10.500003   0.000002
   1392.253456   10.497286  -1.000000   0.02092682  10.500003  -0.002717
   1392.256234   10.500268  -1.000000   0.02103312  10.500003   0.000265
   1392.257623   10.500435  -1.000000   0.02108627  10.500003   0.000432
   1392.259012   10.501508  -1.000000   0.02113943  10.500003   0.001505
   1392.260401   10.500272  -1.000000   0.02119258  10.500003   0.000269
   1392.261790   10.499765  -1.000000   0.02124573  10.500003  -0.000238
   1392.263179   10.501753  -1.000000   0.02129888  10.500003   0.001750
   1392.264568   10.498436  -1.000000   0.02135203  10.500003  -0.001567
   1392.265957   10.500686  -1.000000   0.02140518  10.500003   0.000683
   1392.271512   10.499460  -1.000000   0.02161779  10.500003  -0.000543
   1392.272901   10.499210  -1.000000   0.02167094  10.500003  -0.000793
   1392.274290   10.499944  -1.000000   0.02172409  10.500003  -0.000059
   1392.279846   10.499047  -1.000000   0.02193669  10.500003  -0.000957
   1392.282624   10.499946  -1.000000   0.02204300  10.500003  -0.000057
   1392.284012   10.499761  -1.000000   0.02209615  10.500003  -0.000242
   1392.285401   10.499731  -1.000000   0.02214930  10.500003  -0.000273
   1392.286790   10.501775  -1.000000   0.02220245  10.500003   0.001771
   1392.288179   10.501113  -1.000000   0.02225560  10.500003   0.001110
   1392.289568   10.502306  -1.000000   0.02230875  10.500003   0.002303
   1392.290957   10.498249  -1.000000   0.02236190  10.500003  -0.001754
   1392.293735   10.500955  -1.000000   0.02246821  10.500003   0.000952
   1392.295124   10.499180  -1.000000   0.02252136  10.500003  -0.000823
   1392.296513   10.502020  -1.000000   0.02257451  10.500003   0.002017
   1392.297902   10.501742  -1.000000   0.02262766  10.500003   0.001738
   1392.299291   10.501895  -1.000000   0.02268081  10.500003   0.001892
   1392.300679   10.500046  -1.000000   0.02273396  10.500003   0.000042
   1392.302068   10.500344  -1.000000   0.02278711  10.500003   0.000340
   1392.303457   10.499704  -1.000000   0.02284026  10.500003  -0.000299
   1392.304846   10.500082  -1.000000   0.02289342  10.500003   0.000078
   1392.306235   10.499703  -1.000000   0.02294657  10.500003  -0.000301
   1392.307624   10.500887  -1.000000   0.02299972  10.500003   0.000884
   1392.309013   10.499155  -1.000000   0.02305287  10.500003  -0.000848
   1392.310402   10.499367  -1.000000   0.02310602  10.500003  -0.000636
   1392.311791   10.498809  -1.000000   0.02315917  10.500003  -0.001194
   1392.313180   10.500098  -1.000000   0.02321232  10.500003   0.000095
   1392.315957   10.502065  -1.000000   0.02331863  10.500003   0.002062
   1392.317346   10.499337  -1.000000   0.02337178  10.500003  -0.000666
   1392.318735   10.499410  -1.000000   0.02342493  10.500003  -0.000594
   1392.320124   10.500530  -1.000000   0.02347808  10.500003   0.000527
   1392.321513   10.499297  -1.000000   0.02353123  10.500003  -0.000707
   1392.322902   10.499447  -1.000000   0.02358438  10.500003  -0.000556
   1392.324291   10.499476  -1.000000   0.02363753  10.500003  -0.000527
   1392.325680   10.501680  -1.000000   0.02369068  10.500003   0.001677
   1392.328458   10.499907  -1.000000   0.02379699  10.500003  -0.000096
   1392.329847   10.499635  -1.000000   0.02385014  10.500003  -0.000368
   1392.331236   10.500716  -1.000000   0.02390329  10.500003   0.000713
   1392.332624   10.498891  -1.000000   0.02395644  10.500003  -0.001112
   1392.335402   10.499435  -1.000000   0.02406274  10.500003  -0.000568
   1392.336791   10.500278  -1.000000   0.02411589  10.500003   0.000275
   1392.338180   10.499874  -1.000000   0.02416905  10.500003  -0.000129
   1392.339569   10.501289  -1.000000   0.02422220  10.500003   0.001285
   1392.340958   10.499052  -1.000000   0.02427535  10.500003  -0.000952
   1392.342347   10.499908  -1.000000   0.02432850  10.500003  -0.000095
   1392.343736   10.500562  -1.000000   0.02438165  10.500003   0.000559
   1392.345125   10.500479  -1.000000   0.02443480  10.500003   0.000475
   1392.346514   10.501889  -1.000000   0.02448795  10.500003   0.001886
   1392.347902   10.499513  -1.000000   0.02454110  10.500003  -0.000490
   1392.349291   10.501327  -1.000000   0.02459425  10.500003   0.001323
   1392.350680   10.498727  -1.000000   0.02464741  10.500003  -0.001276
   1392.352069   10.500401  -1.000000   0.02470056  10.500003   0.000398
   1392.353458   10.499592  -1.000000   0.02475371  10.500003  -0.000411
   1392.354847   10.500800  -1.000000   0.02480686  10.500003   0.000797
   1392.356236   10.502131  -1.000000   0.02486001  10.500003   0.002128
   1392.357625   10.500703  -1.000000   0.02491316  10.500003   0.000700
   1392.359014   10.501188  -1.000000   0.02496631  10.500003   0.001184
   1392.360403   10.499605  -1.000000   0.02501946  10.500003  -0.000399
   1392.361792   10.500301  -1.000000   0.02507262  10.500003   0.000298
   1392.363181   10.501199  -1.000000   0.02512577  10.500003   0.001195
   1392.364569   10.500397  -1.000000   0.02517892  10.500003   0.000394
   1392.365958   10.499110  -1.000000   0.02523207  10.500003  -0.000893
   1392.367347   10.501321  -1.000000   0.02528522  10.500003   0.001317
   1392.368736   10.500162  -1.000000   0.02533837  10.500003   0.000159
   1392.370125   10.498848  -1.000000   0.02539152  10.500003  -0.001156
   1392.371514   10.499992  -1.000000   0.02544467  10.500003  -0.000011
   1392.372903   10.499046  -1.000000   0.02549783  10.500003  -0.000957
   1392.374292   10.500008  -1.000000   0.02555098  10.500003   0.000004
   1392.375681   10.500377  -1.000000   0.02560413  10.500003   0.000373
   1392.377070   10.499210  -1.000000   0.02565728  10.500003  -0.000793
   1392.378459   10.499912  -1.000000   0.02571043  10.500003  -0.000091
   1392.379847   10.500289  -1.000000   0.02576358  10.500003   0.000286
   1392.381236   10.498882  -1.000000   0.02581673  10.500003  -0.001121
   1392.382625   10.500520  -1.000000   0.02586988  10.500003   0.000516
   1392.384014   10.500794  -1.000000   0.02592303  10.500003   0.000790
   1392.385403   10.501522  -1.000000   0.02597619  10.500003   0.001518
   1392.386792   10.501627  -1.000000   0.02602934  10.500003   0.001623
   1392.388181   10.499496  -1.000000   0.02608249  10.500003  -0.000507
   1392.390959   10.499801  -1.000000   0.02618879  10.500003  -0.000203
   1392.392348   10.500081  -1.000000   0.02624194  10.500003   0.000078
   1392.393737   10.500224  -1.000000   0.02629509  10.500003   0.000220
   1392.396514   10.498821  -1.000000   0.02640140  10.500003  -0.001182
   1392.397903   10.500685  -1.000000   0.02645455  10.500003   0.000682
   1392.399292   10.500753  -1.000000   0.02650770  10.500003   0.000750
   1392.400681   10.498557  -1.000000   0.02656085  10.500003  -0.001446
   1392.402070   10.499830  -1.000000   0.02661400  10.500003  -0.000173
   1392.403459   10.500634  -1.000000   0.02666715  10.500003   0.000631
   1392.404848   10.498652  -1.000000   0.02672030  10.500003  -0.001351
   1392.406237   10.499680  -1.000000   0.02677345  10.500003  -0.000323
   1392.407626   10.498595  -1.000000   0.02682661  10.500003  -0.001408
   1392.409015   10.499386  -1.000000   0.02687976  10.500003  -0.000617
   1392.410404   10.501929  -1.000000   0.02693291  10.500003   0.001926
   1392.411792   10.497691  -1.000000   0.02698606  10.500003  -0.002313
   1392.413181   10.503150  -1.000000   0.02703921  10.500003   0.003146
   1392.414570   10.500040  -1.000000   0.02709236  10.500003   0.000037
   1392.415959   10.502311  -1.000000   0.02714551  10.500003   0.002308
   1392.417348   10.501031  -1.000000   0.02719866  10.500003   0.001028
   1392.418737   10.500548  -1.000000   0.02725181  10.500003   0.000545
   1392.420126   10.498981  -1.000000   0.02730497  10.500003  -0.001022
   1392.421515   10.499061  -1.000000   0.02735812  10.500003  -0.000943
   1392.422904   10.499856  -1.000000   0.02741127  10.500003  -0.000148
   1392.424293   10.501299  -1.000000   0.02746442  10.500003   0.001296
   1392.425682   10.500001  -1.000000   0.02751757  10.500003  -0.000002
   1392.427070   10.499974  -1.000000   0.02757072  10.500003  -0.000029
   1392.428459   10.499716  -1.000000   0.02762387  10.500003  -0.000288
   1392.429848   10.499723  -1.000000   0.02767702  10.500003  -0.000280
   1392.431237   10.500160  -1.000000   0.02773018  10.500003   0.000157
   1392.432626   10.499917  -1.000000   0.02778333  10.500003  -0.000086
   1392.434015   10.498599  -1.000000   0.02783648  10.500003  -0.001404
   1392.435404   10.497888  -1.000000   0.02788963  10.500003  -0.002115
   1392.436793   10.500956  -1.000000   0.02794278  10.500003   0.000953
   1392.438182   10.499357  -1.000000   0.02799593  10.500003  -0.000647
   1392.439571   10.500635  -1.000000   0.02804908  10.500003   0.000632
   1392.440960   10.499587  -1.000000   0.02810223  10.500003  -0.000416
   1392.442349   10.501010  -1.000000   0.02815539  10.500003   0.001007
   1392.443737   10.500208  -1.000000   0.02820854  10.500003   0.000205
   1392.445126   10.499305  -1.000000   0.02826169  10.500003  -0.000699
   1392.446515   10.501256  -1.000000   0.02831484  10.500003   0.001253
   1392.447904   10.499725  -1.000000   0.02836799  10.500003  -0.000279
   1392.449293   10.501273  -1.000000   0.02842114  10.500003   0.001270
   1392.450682   10.500093  -1.000000   0.02847429  10.500003   0.000090
   1392.452071   10.502101  -1.000000   0.02852744  10.500003   0.002097
   1392.453460   10.499144  -1.000000   0.02858059  10.500003  -0.000859
   1392.454849   10.501737  -1.000000   0.02863375  10.500003   0.001734
   1392.456238   10.499402  -1.000000   0.02868690  10.500003  -0.000601
   1392.457627   10.499213  -1.000000   0.02874005  10.500003  -0.000791
   1392.459015   10.501033  -1.000000   0.02879320  10.500003   0.001030
   1392.460404   10.499574  -1.000000   0.02884635  10.500003  -0.000430
   1392.461793   10.500120  -1.000000   0.02889950  10.500003   0.000117
   1392.463182   10.497195  -1.000000   0.02895265  10.500003  -0.002808
   1392.464571   10.500422  -1.000000   0.02900580  10.500003   0.000419
   1392.465960   10.501466  -1.000000   0.02905896  10.500003   0.001462
   1392.467349   10.499192  -1.000000   0.02911211  10.500003  -0.000811
   1392.468738   10.500104  -1.000000   0.02916526  10.500003   0.000101
   1392.470127   10.500084  -1.000000   0.02921841  10.500003   0.000081
   1392.472905   10.500523  -1.000000   0.02932471  10.500003   0.000520
   1392.474294   10.501475  -1.000000   0.02937786  10.500003   0.001472
   1392.475682   10.498763  -1.000000   0.02943101  10.500003  -0.001241
   1392.477071   10.497131  -1.000000   0.02948417  10.500003  -0.002872
   1392.478460   10.497924  -1.000000   0.02953732  10.500003  -0.002079
   1392.479849   10.499894  -1.000000   0.02959047  10.500003  -0.000109
   1392.481238   10.500287  -1.000000   0.02964362  10.500003   0.000284
   1392.482627   10.498682  -1.000000   0.02969677  10.500003  -0.001322
   1392.484016   10.499896  -1.000000   0.02974992  10.500003  -0.000107
   1392.485405   10.499996  -1.000000   0.02980307  10.500003  -0.000008
   1392.486794   10.501740  -1.000000   0.02985622  10.500003   0.001737
   1392.488183   10.501701  -1.000000   0.02990937  10.500003   0.001698
   1392.489572   10.502537  -1.000000   0.02996253  10.500003   0.002534
   1392.490960   10.500213  -1.000000   0.03001568  10.500003   0.000210
   1392.492349   10.499581  -1.000000   0.03006883  10.500003  -0.000423
   1392.493738   10.499733  -1.000000   0.03012198  10.500003  -0.000270
   1392.495127   10.500110  -1.000000   0.03017513  10.500003   0.000107
   1392.496516   10.499103  -1.000000   0.03022828  10.500003  -0.000901
   1392.497905   10.499662  -1.000000   0.03028143  10.500003  -0.000341
   1392.499294   10.501178  -1.000000   0.03033458  10.500003   0.001174
   1392.500683   10.499776  -1.000000   0.03038774  10.500003  -0.000227
   1392.502072   10.498301  -1.000000   0.03044089  10.500003  -0.001703
   1392.503461   10.498827  -1.000000   0.03049404  10.500003  -0.001177
   1392.504850   10.499603  -1.000000   0.03054719  10.500003  -0.000400
   1392.506239   10.501038  -1.000000   0.03060034  10.500003   0.001035
   1392.507627   10.501233  -1.000000   0.03065349  10.500003   0.001229
   1392.509016   10.499850  -1.000000   0.03070664  10.500003  -0.000154
   1392.510405   10.498800  -1.000000   0.03075979  10.500003  -0.001203
   1392.511794   10.500199  -1.000000   0.03081295  10.500003   0.000195
   1392.513183   10.499626  -1.000000   0.03086610  10.500003  -0.000377
   1392.514572   10.498395  -1.000000   0.03091925  10.500003  -0.001608
   1392.515961   10.501176  -1.000000   0.03097240  10.500003   0.001172
   1392.517350   10.498891  -1.000000   0.03102555  10.500003  -0.001112
   1392.518739   10.501038  -1.000000   0.03107870  10.500003   0.001035
   1392.520128   10.498320  -1.000000   0.03113185  10.500003  -0.001683
   1392.521517   10.499088  -1.000000   0.03118500  10.500003  -0.000915
   1392.522905   10.500105  -1.000000   0.03123815  10.500003   0.000101
   1392.524294   10.498682  -1.000000   0.03129131  10.500003  -0.001321
   1392.525683   10.500714  -1.000000   0.03134446  10.500003   0.000711
   1392.527072   10.497687  -1.000000   0.03139761  10.500003  -0.002316
   1392.528461   10.500013  -1.000000   0.03145076  10.500003   0.000009
   1392.529850   10.500918  -1.000000   0.03150391  10.500003   0.000915
   1392.531239   10.498882  -1.000000   0.03155706  10.500003  -0.001121
   1392.532628   10.500407  -1.000000   0.03161021  10.500003   0.000404
   1392.534017   10.499617  -1.000000   0.03166336  10.500003  -0.000386
   1392.535406   10.500679  -1.000000   0.03171652  10.500003   0.000676
   1392.536795   10.501447  -1.000000   0.03176967  10.500003   0.001444
   1392.538184   10.500891  -1.000000   0.03182282  10.500003   0.000887
   1392.539572   10.502146  -1.000000   0.03187597  10.500003   0.002143
   1392.540961   10.500283  -1.000000   0.03192912  10.500003   0.000280
   1392.542350   10.500365  -1.000000   0.03198227  10.500003   0.000362
   1392.543739   10.502211  -1.000000   0.03203542  10.500003   0.002208
   1392.545128   10.499353  -1.000000   0.03208857  10.500003  -0.000651
   1392.546517   10.499606  -1.000000   0.03214173  10.500003  -0.000398
   1392.547906   10.499193  -1.000000   0.03219488  10.500003  -0.000811
   1392.549295   10.501023  -1.000000   0.03224803  10.500003   0.001020
   1392.550684   10.499288  -1.000000   0.03230118  10.500003  -0.000715
   1392.552073   10.499291  -1.000000   0.03235433  10.500003  -0.000712
   1392.553462   10.500003  -1.000000   0.03240748  10.500003  -0.000000
   1392.554850   10.499998  -1.000000   0.03246063  10.500003  -0.000005
   1392.556239   10.502575  -1.000000   0.03251378  10.500003   0.002571
   1392.557628   10.500886  -1.000000   0.03256693  10.500003   0.000883
   1392.559017   10.498680  -1.000000   0.03262009  10.500003  -0.001324
   1392.560406   10.499253  -1.000000   0.03267324  10.500003  -0.000750
   1392.561795   10.498990  -1.000000   0.03272639  10.500003  -0.001013
   1392.563184   10.499853  -1.000000   0.03277954  10.500003  -0.000150
   1392.564573   10.499035  -1.000000   0.03283269  10.500003  -0.000968
   1392.565962   10.500394  -1.000000   0.03288584  10.500003   0.000391
   1392.567351   10.501260  -1.000000   0.03293899  10.500003   0.001256
   1392.568740   10.500180  -1.000000   0.03299214  10.500003   0.000177
   1392.570128   10.498649  -1.000000   0.03304530  10.500003  -0.001354
   1392.571517   10.500289  -1.000000   0.03309845  10.500003   0.000286
   1392.572906   10.501120  -1.000000   0.03315160  10.500003   0.001117
   1392.574295   10.499485  -1.000000   0.03320475  10.500003  -0.000518
   1392.575684   10.497455  -1.000000   0.03325790  10.500003  -0.002549
   1392.577073   10.500954  -1.000000   0.03331105  10.500003   0.000951
   1392.578462   10.501138  -1.000000   0.03336420  10.500003   0.001135
   1392.579851   10.500077  -1.000000   0.03341735  10.500003   0.000074
   1392.581240   10.499176  -1.000000   0.03347051  10.500003  -0.000828
   1392.582629   10.500974  -1.000000   0.03352366  10.500003   0.000971
   1392.584018   10.498947  -1.000000   0.03357681  10.500003  -0.001057
   1392.585407   10.498554  -1.000000   0.03362996  10.500003  -0.001450
   1392.586795   10.500513  -1.000000   0.03368311  10.500003   0.000510
   1392.588184   10.499874  -1.000000   0.03373626  10.500003  -0.000129
   1392.589573   10.499284  -1.000000   0.03378941  10.500003  -0.000719
   1392.590962   10.501203  -1.000000   0.03384256  10.500003   0.001200
   1392.592351   10.500591  -1.000000   0.03389571  10.500003   0.000587
   1392.593740   10.500145  -1.000000   0.03394887  10.500003   0.000141
   1392.595129   10.500164  -1.000000   0.03400202  10.500003   0.000161
   1392.596518   10.500831  -1.000000   0.03405517  10.500003   0.000828
   1392.597907   10.500381  -1.000000   0.03410832  10.500003   0.000378
   1392.599296   10.498993  -1.000000   0.03416147  10.500003  -0.001011
   1392.600685   10.501589  -1.000000   0.03421462  10.500003   0.001586
   1392.602073   10.500897  -1.000000   0.03426777  10.500003   0.000893
   1392.603462   10.502356  -1.000000   0.03432092  10.500003   0.002353
   1392.604851   10.499163  -1.000000   0.03437408  10.500003  -0.000841
   1392.606240   10.499352  -1.000000   0.03442723  10.500003  -0.000651
   1392.607629   10.500754  -1.000000   0.03448038  10.500003   0.000751
   1392.609018   10.499873  -1.000000   0.03453353  10.500003  -0.000131
   1392.610407   10.500157  -1.000000   0.03458668  10.500003   0.000153
   1392.611796   10.498777  -1.000000   0.03463983  10.500003  -0.001226
   1392.613185   10.501529  -1.000000   0.03469298  10.500003   0.001526
   1392.614574   10.501455  -1.000000   0.03474613  10.500003   0.001452
   1392.615963   10.500185  -1.000000   0.03479928  10.500003   0.000182
   1392.617352   10.498199  -1.000000   0.03485244  10.500003  -0.001804
   1392.618740   10.500003  -1.000000   0.03490559  10.500003  -0.000001
   1392.620129   10.501684  -1.000000   0.03495874  10.500003   0.001681
   1392.621518   10.499484  -1.000000   0.03501189  10.500003  -0.000520
   1392.622907   10.499263  -1.000000   0.03506504  10.500003  -0.000740
   1392.624296   10.500120  -1.000000   0.03511819  10.500003   0.000117
   1392.625685   10.499555  -1.000000   0.03517134  10.500003  -0.000448
   1392.627074   10.500154  -1.000000   0.03522449  10.500003   0.000150
   1392.628463   10.500346  -1.000000   0.03527765  10.500003   0.000342
   1392.629852   10.499646  -1.000000   0.03533080  10.500003  -0.000357
   1392.631241   10.502339  -1.000000   0.03538395  10.500003   0.002336
   1392.632630   10.500639  -1.000000   0.03543710  10.500003   0.000636
   1392.634018   10.502738  -1.000000   0.03549025  10.500003   0.002735
   1392.635407   10.500892  -1.000000   0.03554340  10.500003   0.000889
